YORF	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
YGR183C	-0.14	0.67	0.55	0.28	-0.11	0.14	-0.23	-0.13	-0.01	0.17	-0.01	0.04	0.19	-0.17	-0.45	-0.03	-0.27	-0.05
YGR184C	-0.39	-0.13	-0.24	0.2	-0.03	-0.66	-0.18	0.33	-0.04	-0.51	0.32	-0.62	-0.3	-0.45	0.26	0.18	-0.33	-0.01
YGR185C	0.04	0.05	-0.04	0	-0.15	0.31	-0.08	0.12	0.15	0.37	0.22	0.39	-0.01	0.07	0.29	0.1	0	0.12
YGR186W	0.09	0.52	-0.02	-0.06	-0.28	0.12	-0.2	-0.02	0.27	0.21	0.36	0.24	0.04	-0.07	0.01	0.44	-0.16	0.16
YGR187C	0.07	-0.57	-0.61	-0.21	-0.43	-0.1	-0.33	0.1	0.03	0.1	-0.02	-0.54	-0.06	-0.16	-0.58	-0.01	-0.03	0.05
YGR188C	-0.69	0.23	-0.54	0.01	0.12	0.04	-0.32	-0.11	-0.35	-0.52	0.26	-0.34	0.17	-0.31	0.44	0.4	-0.63	-0.57
YGR189C	0.21	-0.06	1.44	1.68	1.69	1.01	0.82	-0.42	-0.96	0.01	0.67	1.51	0	0.8	0.63	0.13	-0.08	-0.7
YGL215W	0.3	-0.25	-0.09	-0.1	0.25	-0.32	0.34	-0.14	0.21	-0.06	0.18	-0.22	0.2	0.02	0.31	-0.08	0.2	-0.23
YGR190C	0.39	0.15	-0.27	-0.17	0.07	0.22	0.32	0.4	0.1	-0.03	-0.01	-0.03	0.15	0.11	0.18	-0.09	0.6	-0.02
YJR004C	0.36	-0.97	0.19	-0.45	-0.12	-0.52	-0.14	-0.56	-0.18	-0.25	-0.4	-0.47	-0.05	-0.32	-0.35	-0.35	-0.79	-0.26
YGR191W	0.27	-0.27	-0.07	-0.39	-0.11	-0.29	0.29	-0.06	0.07	0.3	0.01	-0.13	-0.15	-0.01	-0.02	-0.18	0.21	0.02
YGR192C	0.61	0.38	0.45	0.4	0.57	0.17	0.77	0.18	0.38	0.24	0.23	0.01	0.42	0.17	0.69	0.22	0.44	0.24
YGR193C	-0.05	-0.24	0.22	-0.24	0.02	-0.07	0.34	-0.1	0.17	0.31	-0.11	0.13	-0.18	0.04	0.09	0.12	0.03	0.11
YGR194C	-0.16	-0.22	-0.04	-0.67	-0.08	-0.45	0.07	-0.26	-0.39	-0.15	-0.32	-0.47	-0.05	-0.33	0.01	-0.07	-0.1	-0.5
YGR195W	0.26	-0.18	-0.07	-0.31	0.03	-0.16	0.19	0	0.05	-0.02	-0.19	0.07	-0.11	0.04	-0.1	-0.17	0.09	0.02
YGR196C	0.47	0.17	0.13	0.07	0.24	-0.06	0.37	-0.03	0.1	0.08	0	0.04	0.13	-0.05	0.21	0.1	0.04	0.24
YGR197C	-0.05	-0.18	0.14	-0.1	-0.12	-0.17	0.1	-0.25	-0.17	-0.07	-0.2	-0.05	-0.25	-0.09	-0.03	0.02	0.13	-0.03
YGR198W	0.12	-0.34	-0.29	-0.25	-0.04	-0.26	0.1	-0.17	-0.06	0.05	-0.04	-0.18	0.16	0.03	-0.09	-0.03	-0.03	-0.1
YGR199W	-0.06	-0.46	0.15	0.06	0.2	-0.24	0.09	-0.44	-0.25	-0.17	-0.01	0.07	0.08	-0.12	-0.09	-0.07	-0.08	-0.2
YGR200C	0.15	-0.7	-0.66	-0.35	0	-0.48	0.15	-0.14	0.14	0	0.11	0.04	0.11	-0.28	-0.09	-0.06	-0.02	-0.07
YJR005W	0.01	-0.13	0.34	-0.06	0.17	0.13	0.13	-0.27	0.03	-0.04	0.29	-0.18	-0.16	-0.22	0.22	-0.06	0.14	-0.41
YGL214W	0.01	-0.29	-0.19	-0.15	-0.2	-0.22	0.01	-0.23	-0.1	-0.15	-0.3	-0.06	0.12	-0.18	-0.14	-0.14	-0.02	-0.21
YGL213C	0.21	0.13	-0.05	0.17	0.18	0.01	0.03	0.28	0.1	-0.1	0.1	-0.04	0.19	0.24	0.03	-0.02	0.29	-0.17
YGR201C	-0.62	-0.05	-0.3	-0.09	-0.52	0.28	-0.01	0.14	0.02	0.14	-0.13	-0.15	-0.22	-0.17	-0.54	0.08	-0.04	-0.06
YGR202C	-0.19	-0.25	-0.53	-0.52	-0.75	-0.28	-0.28	0.02	-0.06	-0.06	0.16	-0.17	-0.14	-0.45	-0.11	0.12	0	-0.05
YGR203W	-0.42	-0.15	-0.51	-0.41	-0.43	0.02	-0.25	-0.33	-0.08	-0.09	-0.37	-0.23	-0.08	-0.11	-0.34	0.07	-0.17	-0.02
YGR204W	-0.14	0.31	0.29	0.44	0.38	0.34	0.21	0.4	0.59	0.21	0.62	0.39	0.19	0.32	0.45	0.81	-0.2	0.17
YGR205W	-0.57	-0.23	-0.15	-0.79	-0.31	-0.59	-0.87	-1.17	-0.55	-1.05	-0.39	-0.35	-0.54	-0.76	-1.99	-0.18	-1.02	-0.87
YGR206W	0.09	0	-0.1	0.06	-0.35	0.03	-0.33	0.15	0.08	-0.38	0.28	0.21	-0.02	-0.1	-0.15	0.12	-0.17	-0.2
YGR207C	-0.32	0.01	-0.13	-0.28	-0.63	0	-0.2	-0.12	0.23	0.3	0.11	-0.1	-0.23	-0.31	-0.15	0.16	-0.37	-0.02
YGR208W	0.13	1	-0.12	-0.16	-0.16	0.16	0.05	0.26	0.24	-0.28	0.17	0.03	0	0.28	0.25	0.44	-0.09	0.01
YJR006W	-0.61	-0.35	0.04	0.52	-0.1	0.18	-0.29	-0.4	-0.35	-0.03	0	0.28	0.13	0.01	-0.2	-0.11	-0.53	-0.43
YGR209C	-0.36	0.24	-0.06	0.2	-0.11	0.18	-0.1	-0.05	0.17	0.39	0.37	0.14	0.25	0.25	0.48	0.26	0.24	0.18
YGR210C	0.04	0	-0.39	-0.33	-0.26	-0.06	-0.01	0.02	0.35	-0.21	0.31	0.03	0.03	0.12	0.2	0.25	-0.12	0
YGL212W	-0.26	-0.79	-0.46	-0.22	-0.23	-0.15	0.06	-0.05	-0.26	-0.24	-0.63	-0.27	-0.1	-0.26	-0.25	-0.2	0.09	-0.29
YGR211W	-0.08	-0.64	-0.49	-0.11	0.04	0.15	0.13	0.18	0.4	0.41	0.25	0.15	0.07	0.18	0.01	0.29	-0.21	0.25
YGR212W	0.11	0.6	0.28	0.21	0.05	0.19	0.06	0.32	0.65	-0.07	0.23	-0.01	0.03	-0.07	0.38	0.22	-0.15	0
YGR213C	0.52	1.43	1.08	0.55	0.17	0.65	0.39	0.45	0.14	-0.09	-0.68	0.14	0.07	0.06	-0.38	0.04	0.06	0.23
YGR214W	0.31	-0.17	-0.08	0	0.18	-0.28	0.19	-0.23	0.08	0	0.14	-0.09	0.3	0.07	0.42	0.11	0.41	0.02
YGR215W	-0.17	-0.09	-0.31	0.05	-0.17	-0.15	0.09	-0.2	0	-0.13	-0.56	-0.03	-0.28	-0.09	-0.19	-0.1	-0.2	-0.1
YGR216C	0.28	-0.19	0	-0.16	0.23	-0.33	0.26	-0.25	0.02	-0.32	-0.01	-0.16	0.17	-0.21	0.03	-0.09	-0.01	-0.25
YGR217W	-0.07	-0.12	0.23	-0.11	0.18	-0.63	-0.53	-0.38	0.29	-0.71	-0.11	-0.39	-0.2	-0.23	0.17	-0.03	-0.12	0.12
YJR007W	0.35	0.05	0.02	0.2	0.31	0.18	0.07	0.23	0.47	0.06	0.56	0.06	0.15	0.42	0.33	0.41	-0.05	-0.04
YGL211W	-0.26	-0.53	-0.34	-0.06	-0.07	0.17	-0.45	0.33	0.08	-0.32	0.14	0.12	-0.01	0.04	-0.14	0.38	-0.12	-0.21
YGR218W	0.35	-0.09	0.22	0.1	0.34	-0.15	0.18	0.12	0.19	0.42	0.36	0.36	0.33	0.15	0.4	0.35	0.12	0.17
YGR219W	-0.04	-0.17	0.29	0.17	0.06	-0.42	0.09	-0.43	-0.13	-0.18	-0.12	0.18	-0.04	-0.09	-0.17	-0.23	-0.02	-0.11
YGR220C	0.2	-0.1	0.41	0.29	0.3	-0.22	0.15	-0.23	0.07	-0.09	-0.08	0.13	0.27	-0.03	0.08	-0.14	0.09	-0.18
YGR221C	-0.68	-0.12	0.4	0.75	0.27	-0.38	-0.39	-0.73	-0.87	-0.48	-0.04	0.85	0.59	0.22	-0.31	-0.31	-0.03	-0.41
YGL210W	-0.43	0.06	-0.13	0.39	-0.05	0.36	-0.28	0.15	0.04	0.44	-0.04	0.26	0.07	0.14	-0.36	0.19	-0.02	0.01
YGR222W	-0.02	-0.05	0.44	0.24	0.15	-0.53	-0.14	-0.49	-0.1	-0.27	-0.07	0.23	0.24	-0.26	-0.24	-0.28	0.15	-0.23
YGR223C	0.13	0.13	0.02	-0.09	-0.08	-0.48	-0.1	-0.24	-0.13	-0.3	-0.22	0.1	-0.12	-0.18	-0.3	-0.17	0	-0.04
YGR224W	-0.18	-0.48	-0.14	-0.04	0.01	-1.1	-0.29	-0.08	-0.39	-0.37	-0.43	-0.11	0.02	-0.14	-0.37	-0.1	-0.13	-0.44
YGR225W	-0.46	-0.37	-0.19	-0.72	-1.3	-0.09	-0.4	-0.32	-0.08	-0.94	-0.79	-0.35	-0.46	0.17	0	-0.12	-0.2	-0.27
YJR008W	-0.06	-0.06	-0.52	-0.24	-0.74	-0.4	-0.33	-0.6	-0.25	-0.08	-0.25	-0.48	-0.2	-0.24	0	-0.31	-0.58	-0.28
YGR226C	-0.24	0.83	0.19	-0.24	-0.34	0.09	-0.19	0.03	0.08	-0.29	0.01	0.01	0.38	0.2	-0.34	0.2	-0.18	-0.34
YGR227W	-0.03	-0.29	-0.34	-0.43	-0.24	-0.65	-0.38	-0.62	-0.11	-0.14	0.16	-0.04	0.07	-0.21	-0.31	-0.33	-0.43	-0.22
YGR228W	-0.17	-0.16	-0.33	0.62	0.06	0.66	-0.18	0.58	0.04	-0.1	-0.01	0.27	0.15	0.33	0.08	0.35	-0.03	0.23
YGR229C	-0.3	-0.2	-0.25	0.21	0.3	0.59	-0.16	0.15	0.13	0.4	0.1	0.1	0.11	0.18	-0.04	0.22	-0.25	0.18
YGR230W	-0.07	0.35	-0.53	-0.17	-0.33	0	-0.38	-0.07	0.21	0.04	0.41	0.06	0.06	-0.32	-0.22	0.05	-0.2	0.12
YGR231C	-0.17	0.17	0.08	0	-0.34	0.1	-0.1	-0.24	0.1	0.27	0.09	-0.1	-0.17	-0.32	-0.31	-0.17	-0.45	-0.18
YGR232W	0.41	0.37	0.34	0.42	0.11	0.14	-0.06	0.33	0.28	-0.08	0.41	0.15	0.2	0.08	-0.05	0.05	-0.17	0.02
YGR233C	0.12	-0.26	-0.36	-0.4	-0.34	-0.2	-0.19	-0.3	0.12	0.4	0.49	0.12	-0.06	-0.06	-0.44	0.07	-0.73	-0.02
YGL209W	0.1	-0.16	0.12	0.18	0.12	0.26	0.01	0.32	0.1	-0.04	0.27	0.07	-0.09	0.01	0.2	0.29	0.07	-0.04
YGR234W	-0.18	-0.49	-0.87	-1.15	-1.34	-1.42	-1.48	-1.37	-0.99	-1.15	-0.25	-0.33	-0.13	-0.06	-0.07	-0.05	-0.91	-0.73
YJR009C	0.45	0.29	0.63	0.38	0.62	0.32	0.35	0.51	0.72	0.11	0.7	0.1	0.31	0.48	0.61	0.56	0.06	-0.05
YGR235C	-0.47	-0.44	-0.74	-1.02	-1.39	-0.85	-0.97	-1.03	-0.84	-0.55	-0.51	-0.33	-0.39	-0.27	-0.52	-0.55	-0.92	-0.5
YGR236C	-0.12	-0.68	-0.84	-0.95	-0.59	-0.84	-0.68	-0.82	-0.43	-0.74	-0.45	-0.81	0.04	-0.54	0.08	-0.26	-0.3	-0.16
YGR237C	-0.04	0.08	-0.01	-0.17	-0.37	-0.42	-0.27	-0.48	-0.16	0.11	-0.04	0.07	-0.3	-0.34	-0.47	-0.14	-0.14	0.02
YGR238C	-0.73	-0.2	0.01	-0.02	-0.19	-0.47	-0.42	-0.57	-0.78	-0.5	-0.23	0.36	0.04	0.07	-0.42	-0.41	-0.35	-0.48
YGR239C	0.44	-0.07	-0.31	-0.13	0.04	0.16	0.09	-0.33	-0.1	-0.07	-0.32	-0.17	0.12	0.04	-0.28	-0.15	-0.28	0.01
YGR240C	0.45	-0.11	0.08	0.07	0.22	0.06	0.51	0.47	0.38	0.17	0.17	0.19	0.09	0.19	0.35	0.39	0.33	0.16
YGL208W	-0.3	0.2	0.04	0.04	-0.24	0.13	-0.33	0.09	-0.02	0.46	-0.16	0.2	-0.05	0.13	-1	0.06	-0.01	-0.03
YGR241C	-0.01	0.27	0.3	-0.08	-0.16	-0.27	0.13	-0.27	0.1	0.13	0	0.17	-0.06	0	-0.05	0.07	0.17	0.3
YGR242W	0.04	0.21	0.3	-0.07	-0.07	-0.05	0.1	0.14	0.03	-0.01	-0.01	0.12	-0.12	-0.02	-0.02	0.08	0.35	0.18
YGR243W	0.3	1.11	0.72	0.49	0.05	-0.15	0.1	-0.25	-0.02	-0.11	-0.17	-0.21	-0.19	0.03	-0.48	-0.11	-0.69	-0.06
YJR010W	0.4	0.16	0.4	-0.04	0.09	0.63	0.99	1.17	1.18	-0.05	0.58	-0.09	-0.03	0.01	0.56	0.87	0.17	0.22
YGR244C	0.35	0.26	0.81	0.58	0.71	0.24	0.6	0.07	0.21	0.05	0.09	0.1	0.17	0.1	0.15	0.04	0.37	-0.14
YGR245C	0.12	-0.85	-0.95	-0.62	-0.03	-0.17	0.18	-0.05	0.28	0.23	0.05	0.18	0.07	0.26	-0.04	0.16	0.33	0.32
YGR246C	0.14	-0.39	-0.14	-0.38	0.25	-0.41	0.09	-0.19	0.02	-0.19	0.16	-0.01	0.03	-0.23	0	-0.17	0.1	-0.18
YGR247W	-0.42	-0.23	-0.17	0	-0.47	-0.58	-0.27	-0.73	-0.08	-0.59	-0.32	-0.55	-0.19	-0.11	-0.61	-0.26	-0.36	-0.27
YGR248W	0.23	0.81	0.97	-0.09	0.15	-0.65	-0.27	-0.26	-0.62	-0.5	-0.35	-0.34	0.03	-0.23	-0.95	-0.34	-0.28	-0.94
YGR249W	0.52	0.57	-0.22	-0.31	-0.42	-0.01	-0.33	-0.18	-0.23	-0.02	-0.14	-0.35	-0.11	0.34	-0.67	0.09	-0.42	-0.01
YGL207W	-0.36	-0.27	0.12	0.45	0.32	0.24	-0.5	-0.07	0.01	-0.3	0.73	0.58	0.21	0.28	0.29	0.39	-0.57	-0.13
YGR250C	0.79	0.42	0.34	0.27	-0.03	0.29	0.16	0.25	0.21	-0.11	0.52	0.17	0.14	0.18	0.42	0.5	-0.26	-0.04
YGR251W	-0.08	-0.38	-0.93	-0.18	-0.67	0.06	-0.39	-0.1	-0.19	0.01	-0.12	-0.04	-0.14	0.12	-0.82	-0.08	-0.36	0.19
YGR252W	-0.24	0.3	-0.38	-0.2	-0.2	0.08	-0.14	0.33	0.11	-0.48	0.04	-0.22	-0.08	0.07	0.23	0.29	-0.32	0.09
YJR010C-A	-0.08	0.08	-0.19	-0.06	-0.27	0.13	-0.06	-0.2	0.04	-0.38	-0.14	-0.23	0.07	-0.25	-0.48	-0.21	-0.37	-0.4
YGR253C	-0.07	0.88	-0.22	0.03	-0.41	0.14	-0.05	0.01	0.1	0.33	0.16	-0.09	-0.13	-0.16	-0.21	-0.09	-0.3	-0.08
YHL003C	-0.41	-0.14	-0.28	-0.04	0	0.04	-0.08	-0.36	-0.1	0.02	-0.09	-0.27	0.08	-0.05	0.12	-0.07	-0.42	-0.28
YHL002W	0.41	0.12	0.19	0	-0.21	-0.07	-0.21	0.12	0.09	-0.28	0.27	-0.04	-0.18	-0.06	0.07	0.29	-0.28	0.14
YHL001W	-0.18	0.12	-0.39	-0.04	-0.26	0.07	-0.35	-0.24	0.16	0.56	0.2	-0.12	0.27	0.21	0.28	0.14	-0.14	0.22
YHR001W	-0.49	-0.08	-0.12	-0.24	-0.29	-0.03	-0.33	-0.35	0.06	0.22	0.17	-0.03	-0.45	-0.38	-0.06	-0.01	-0.2	-0.18
YHR002W	-0.21	0.46	-0.41	-0.16	-0.64	-0.11	-0.31	-0.12	-0.26	-0.33	-0.12	-0.25	-0.1	-0.12	-0.37	-0.09	-0.53	0.01
YHR003C	-0.37	-0.3	-0.67	-0.42	-0.51	-0.38	-0.42	-0.35	0.06	0.35	-0.01	0	-0.49	-0.54	-0.41	-0.28	-0.1	-0.14
YHR004C	-0.16	0.25	-0.27	0.05	-0.47	0.45	-0.35	0	-0.29	-0.07	-0.66	-0.14	-0.29	-0.04	-0.49	-0.04	-0.25	0.28
YHR005C	0.74	0.63	-0.1	-0.71	-1.56	-0.78	-1.38	-0.62	-0.13	0.75	0.66	0.51	-0.24	-0.57	-1.13	-0.48	-0.12	0.48
YJR011C	-0.37	-0.17	-1.85	-1.01	-1.01	-0.6	-0.28	-0.31	-0.12	-1.05	-0.52	-1.36	-0.16	-0.59	0	-0.26	-0.55	-0.24
YHR006W	-0.11	-0.2	-0.3	-0.49	-0.46	-0.16	-0.29	-0.35	-0.33	-0.33	-0.43	-0.43	-0.15	-0.16	-0.18	0.08	-0.43	0.09
YHL046C	0.13	0	0.56	-0.07	0.21	-0.03	0.05	-0.15	0.13	-0.3	-1.17	0.19	0.13	0.28	0.21	-0.01	0.02	-0.81
YHR007C	-0.41	-0.77	-0.58	-0.69	-0.39	-0.25	-0.46	-0.38	-0.06	-0.1	-0.03	-0.32	-0.38	-0.26	-0.51	-0.02	0	-0.19
YHR008C	0.03	0.05	-0.38	0.1	-0.24	-0.28	-0.35	-0.42	-0.17	-0.32	0.21	-0.12	0	-0.32	0.12	0.03	-0.28	-0.17
YHR009C	-0.56	0.71	-0.23	-0.36	-0.54	-0.34	-0.46	-0.51	-0.16	-0.08	0.23	-1.53	-0.34	-0.93	-0.11	-0.37	-0.06	-0.74
YHL045W	0.1	-0.14	0.07	-0.1	0.1	-0.3	0.03	-0.33	-0.29	-0.3	-0.31	-0.13	0.3	-0.35	-0.52	-0.44	-0.02	-0.19
YHR010W	0.21	0.07	0.03	0.18	-0.05	0.13	-0.06	0.43	0.47	0.41	0.54	0.28	0.27	0.31	0.34	0.45	0.35	0.4
YHR011W	1.19	-0.25	0.22	-0.15	-0.08	-0.35	-0.05	-0.14	-0.47	0.03	0.08	-0.1	-0.35	-0.18	-0.13	-0.12	0.43	-0.53
YHR012W	0.37	-0.2	0.07	0.13	-0.03	-0.32	0.23	-0.24	0.01	-0.06	0.02	-0.05	0.05	-0.08	-0.12	-0.36	-0.01	-0.07
YJR012C	0.05	0.14	-0.05	-0.05	0.24	0.36	-0.14	0.35	0.1	-0.36	0	-0.1	-0.06	0.18	0.01	0.41	-0.03	-0.95
YHR013C	0	-0.16	0.27	-0.28	0.13	-0.2	-0.1	-0.17	-0.16	0.15	-0.19	0.02	-0.16	-0.24	-0.11	-0.42	-0.31	-0.32
YHR014W	-0.1	-0.58	0.24	-0.17	0.04	-0.21	-0.1	-0.04	-0.26	-0.17	-0.62	-0.08	-0.06	-0.1	-0.26	-0.22	0.02	-0.32
YHR015W	0.14	-0.26	-0.33	-0.2	0	-0.5	-0.23	-0.34	-0.23	0.72	0.4	-0.25	-0.34	-0.33	-0.24	0.15	0.38	0.13
YHL044W	0.28	1.11	1.19	0.59	0.62	0.33	0.15	0.18	0.3	-0.04	-1.72	0.26	0.18	0.45	0.22	0.01	0.19	-0.64
YHR016C	0.12	0.42	0.67	0.48	0.07	-0.38	-0.08	-0.46	-0.3	-0.31	0.01	-0.09	0.17	-0.28	-0.04	-0.17	-0.01	-0.32
YHR017W	0.19	0.36	0.33	-0.17	0.25	-0.23	0.17	-0.02	-0.09	0.5	0.03	0.18	-0.12	0.06	-0.09	-0.16	0.21	0.12
YHR018C	1.08	1.51	1.14	0.37	0.07	-0.4	0.14	-0.28	0.08	0.26	0.57	0.4	0.49	0.14	0.45	0.22	0.5	0.39
YHR019C	0.22	-0.24	0.05	0.1	0.16	-0.14	0.25	0.06	0.22	0.4	0.1	0.26	0.05	0.2	0.23	0.25	0.24	0.14
YHR020W	-0.52	-0.93	-0.43	-0.25	0.07	-0.27	0.29	-0.02	0.22	0.11	0.19	0.24	0.29	0.23	0.38	0.35	0.22	0.24
YHR021C	-0.07	-0.53	-0.23	-0.31	-0.06	-0.54	0.23	-0.47	-0.21	0.19	-0.41	-0.17	-0.09	0.02	0.22	-0.13	0.11	-0.07
YJR013W	0.12	0.74	0.02	0.46	0.13	0.78	0.08	0.39	0.17	0.2	0.14	0.27	0.18	0.24	0.2	0.16	0.23	0.13
YHL043W	0.48	0.62	0.1	-0.14	-0.04	-0.03	-0.01	-0.02	0.12	-0.23	-0.05	-0.26	0.12	-0.03	-0.46	-0.09	0.19	-0.12
YHR022C	-0.04	-0.22	-0.06	-0.68	-0.1	-0.74	-0.01	-0.6	-0.09	-0.18	-0.21	-0.51	0.1	-0.69	-0.69	-0.65	-0.02	-0.36
YHR023W	-1.32	-0.96	-2.06	-0.96	-0.49	-0.42	0.13	0.28	0.68	0.93	0.23	-0.19	-1.06	-0.59	-0.3	0.18	-0.07	0.48
YHL042W	0.29	0.23	0.53	-0.16	0.26	-0.24	0.01	0.22	0.37	0.2	0	0.21	0.01	0.52	-0.15	0.34	0.03	0.23
YHR024C	0.18	-0.04	0.24	0.11	-0.08	-0.18	0.01	0.01	0.42	0.17	0.39	0.3	0.17	-0.08	0.01	0.1	-0.19	0.14
YHR025W	0.05	0.29	0.06	0.02	-0.03	0.24	0.03	0.03	0.23	0.07	-0.04	-0.01	0.03	-0.12	0.2	0.05	-0.07	-0.04
YHR026W	0.01	-0.19	-0.15	0.1	-0.03	0.12	0.03	0.11	0.15	-0.13	0.15	-0.13	0.12	-0.09	0.04	-0.03	-0.19	-0.09
YHR027C	-0.66	-0.08	-0.37	0.01	-0.3	0	-0.21	-0.27	0.06	0.42	0.33	0.02	-0.15	-0.21	-0.17	0.33	-0.3	-0.07
YHR028C	-0.05	-0.06	0.05	0.13	0	-0.14	-0.26	-0.28	0.03	-0.25	-0.03	-0.11	-0.08	-0.38	-0.12	0.09	-0.55	-0.12
YJR014W	-0.02	-0.26	-0.21	0.07	-0.16	-0.07	-0.38	-0.17	0.19	-0.3	0.39	-0.17	-0.09	-0.24	0.08	0.29	-0.33	-0.53
YHR029C	-0.69	0.04	-0.32	-0.28	-0.69	0.19	-0.13	0.05	0.15	0.13	-0.03	-0.07	-0.15	-0.02	0.08	0.17	0	0.15
YHR030C	1.81	0.53	0.07	0.15	0.11	0.39	0.48	0.3	0.33	-0.07	0.02	0.05	0.22	0.15	0.31	0.74	-0.04	0.2
YHR031C	-1.21	-0.75	0	-1.21	-0.78	0.06	-0.17	-0.25	-0.12	-0.35	-0.67	-0.99	-0.4	0.07	-0.56	0.3	-0.18	-0.12
YHR032W	-0.01	0	-1	-0.42	-0.19	0.07	-0.15	0.18	0.11	-0.18	-0.1	0.06	0.12	0.19	0.04	0.32	-0.24	0.02
YHL041W	-0.21	0.3	-0.71	-0.16	0.48	-0.62	-0.2	-0.7	-0.13	-0.45	-0.02	-0.94	0.11	-1.13	0.32	-1	-0.28	-0.48
YHR033W	-1.49	-0.36	-1.04	-0.28	-0.45	-0.37	-0.71	-0.8	-0.31	-0.25	-0.32	-0.61	-0.37	-0.17	-0.8	0.04	-0.42	-0.27
YHR034C	-0.12	0	-0.49	-0.68	-0.64	-0.27	-0.33	-0.27	0.04	-0.14	0.01	-0.35	-0.12	-0.34	-0.01	0.32	-0.48	0
YHR035W	-0.03	0.13	-0.41	-0.17	0	-0.33	-0.56	-0.57	0	-0.84	-0.39	-0.75	0	-0.34	0.03	-0.27	0.39	-0.15
YHR036W	-0.3	-0.53	-0.54	1.16	-0.29	-0.53	-0.03	-0.28	-0.18	-0.22	-0.25	-0.32	-0.04	-0.15	-0.45	-0.14	-0.15	-0.07
YHR037W	0.06	0.48	0.31	0	-0.35	-0.55	-0.09	-0.3	-0.2	-0.13	0.58	-0.1	-0.27	-0.22	0.27	0.04	0.27	-0.4
YJR015W	-0.35	-0.15	-0.66	-0.17	-0.27	-0.13	0.05	-0.27	-0.08	-0.21	-0.25	-0.22	-0.18	0.01	0	0.06	-0.44	0.42
YHR038W	0.22	-0.03	0.23	0.07	0.03	-0.4	-0.1	-0.23	-0.19	-0.32	-0.17	-0.02	0.08	-0.09	-0.47	-0.47	-0.07	-0.26
YHR039C	-0.01	-0.19	-0.48	-0.27	-0.65	-1.2	-0.48	-0.59	-0.3	0	-0.03	-0.56	0.07	-0.93	0.09	-0.91	-0.43	0.03
YHR040W	-0.15	-1.29	-0.63	-0.4	0.01	-0.59	0.07	-0.44	0.1	0.07	-0.46	-0.14	-0.11	-0.05	-0.28	-0.13	0.24	-0.04
YHR041C	-0.05	-0.53	-0.26	0	0.01	-0.74	-0.02	-0.6	-0.18	-0.49	-0.29	-0.45	0.14	-0.53	-0.18	-0.44	-0.22	-0.41
YHR042W	-0.14	-0.82	-0.3	-0.45	0.1	-0.33	0.17	-0.18	0.12	-0.09	0.04	0.24	0.13	0.08	0.11	0.17	0.09	-0.04
YHL040C	0.33	-0.12	0.45	0.43	0.56	0.61	0.73	0.92	0	0	1.86	1.5	0.83	1.1	1.22	1.11	0	1.25
YHR043C	0.49	0.01	0.63	0.29	0.28	-0.25	0.29	-0.25	-0.06	0	-0.14	-0.13	0.26	-0.08	0.06	-0.36	-0.11	-0.3
YHR044C	0.15	0.19	0.34	0.06	-0.01	-0.53	0.11	-0.71	0.09	-0.53	0.08	-0.51	0.1	-0.37	-0.12	-0.37	0.11	-0.2
YHR045W	0.48	0.32	-0.57	-0.41	-0.04	0	-0.37	-0.67	-0.27	0	-0.73	-0.46	0.02	-1.46	0.12	-0.33	-0.58	-0.76
YJR016C	0.07	-0.3	-0.21	-0.33	0.05	-0.44	-0.67	-0.06	0.04	-0.34	0.6	-0.03	-0.2	-0.08	0.39	0.51	-0.53	-0.74
YHR046C	-0.28	0	-0.32	-0.12	-0.28	0.09	-0.5	0	-0.04	0.04	-0.16	-0.26	-0.21	-0.33	-0.56	-0.08	-0.05	-0.11
YHR047C	-0.18	-0.05	-0.37	-0.29	-0.32	-0.4	-0.38	-0.19	0.01	-0.1	0.43	0.06	-0.11	-0.1	-0.09	0.22	-0.53	-0.09
YHR048W	-0.45	-0.23	-1.27	-1.38	-0.25	-0.5	-0.31	-0.48	-0.11	-0.26	-0.24	-0.21	-0.13	-0.16	-0.73	-0.2	-0.65	-0.27
YHR049W	0.33	0.74	0.13	0.2	-0.23	-0.21	-0.52	-0.22	-0.5	-0.59	-0.35	-0.67	-0.33	-0.44	-0.27	-0.21	-0.5	-0.46
YHR050W	-1.21	-0.44	-0.08	0.42	0.02	0.1	-0.42	-0.46	-0.24	0.29	0.18	0.34	0.29	-0.01	-0.15	-0.01	-0.45	-0.03
YHR051W	0.12	0.51	0.38	0.42	-0.13	-0.08	-0.39	0.14	-0.07	-0.14	0.2	-0.07	0.08	-0.09	0.01	0.07	-0.17	0.09
YHR052W	-0.17	-1.36	-0.95	-0.66	-0.51	-0.23	-0.42	-0.04	0.15	0.43	0.05	-0.12	-0.03	-0.1	-0.58	0.04	-0.41	0.02
YHR053C	-0.15	-0.16	-0.32	-0.37	-0.55	-0.52	-0.79	-0.42	-0.62	-0.61	-0.27	-0.44	-0.09	-0.23	0.03	-0.23	-0.92	-1
